location_id,fold,model,r2,mae,rmse,nrmse,smape
IN_JSL_001,1,Persistence,0.8724894842504366,22.633711989073188,30.184567476927388,0.09447810946631646,3.8349462994691814
IN_JSL_001,1,LinearRegression,0.8800744963047658,21.166645896863365,29.27303362005298,0.09162499601428961,3.571695973918862
IN_JSL_001,1,RandomForest,0.8956181090900821,18.982980157908017,27.310178323888294,0.08548123206341177,3.166254485684783
IN_JSL_001,1,XGBoost,0.8879194034048634,19.673322938545702,28.299396425974017,0.08857749826654208,3.278886707191315
IN_JSL_001,1,LightGBM,0.9064606950211466,18.50915800065462,25.85288564971357,0.08091988604113125,3.078226258087181
IN_JSL_001,1,SARIMA,0.8832507042942812,19.850965527219525,28.882786541267937,0.09040351731473407,3.26961138929035
IN_JSL_001,1,ETS,0.9170610916848355,16.668057226958332,24.343953693842913,0.07619690836013773,2.78936573682651
IN_JSL_001,2,Persistence,0.7763087719175228,29.162029941471708,39.41563923489233,0.12272881433261264,5.034524281957427
IN_JSL_001,2,LinearRegression,0.8149213805066557,26.360702253100424,35.852729381722995,0.11163495132946324,4.458702921555837
IN_JSL_001,2,RandomForest,0.8486430668527014,23.553662617677716,32.42240728290976,0.10095392795553249,3.979600454067781
IN_JSL_001,2,XGBoost,0.8508408717895029,22.851937315600114,32.18614885834966,0.10021828807031952,3.851939039334287
IN_JSL_001,2,LightGBM,0.8505298788983712,23.494768144146178,32.21968502729935,0.10032270992754033,3.966283555720815
IN_JSL_001,2,SARIMA,0.848923172875109,24.37162682867735,32.392392413516376,0.10086047039897617,4.195397096862582
IN_JSL_001,2,ETS,0.8701760629756976,20.999048885436295,30.02765967263821,0.09349738175865364,3.5514834569118277
IN_KOL_001,1,Persistence,0.7925118900734415,24.691259098497582,30.6726739775005,0.11929907452272225,5.249179952253288
IN_KOL_001,1,LinearRegression,0.8593043592979465,20.084842281237425,25.2577902247129,0.09823828859875802,4.312047371677899
IN_KOL_001,1,RandomForest,0.8304969358986851,22.29910481423317,27.723228713861932,0.1078274274610538,4.7467990192244605
IN_KOL_001,1,XGBoost,0.8511163090752422,21.449013312222032,25.98235992097647,0.10105644831495562,4.573986682745833
IN_KOL_001,1,LightGBM,0.8376806206852963,21.76256814879482,27.12940180903162,0.10551778206708147,4.634692499817874
IN_KOL_001,1,SARIMA,0.7308218462751025,24.6027529944022,34.93614136171434,0.13588151247930924,5.179126326230687
IN_KOL_001,1,ETS,0.866701735295961,18.956636889814526,24.584833934575002,0.09562087537073016,4.02614336820457
IN_KOL_001,2,Persistence,0.7429570103562567,27.148767513337052,33.884136629708124,0.1443637750430119,5.858732691591087
IN_KOL_001,2,LinearRegression,0.7799447313503781,25.337530851580485,31.351579667106385,0.1335737853900927,5.5080009141535315
IN_KOL_001,2,RandomForest,0.7520188311768637,26.48534163157869,33.28150014819456,0.141796235005009,5.663315262381869
IN_KOL_001,2,XGBoost,0.7758328296104715,24.835406815738068,31.643138147391724,0.13481597383124344,5.3252718016226375
IN_KOL_001,2,LightGBM,0.7360825324700888,26.84781618452114,34.33425354847886,0.14628150363425776,5.757582948386895
IN_KOL_001,2,SARIMA,0.7780962981234478,25.532993019401392,31.48297873490334,0.13413361271199264,5.537148250161353
IN_KOL_001,2,ETS,0.8132971312458518,22.00785048030461,28.878128056990636,0.12303561480824421,4.806240953753686
IN_PUN_001,1,Persistence,0.7848386712554929,41.1271940482516,52.17172111854795,0.11738559883739258,8.345738877267712
IN_PUN_001,1,LinearRegression,0.8292723078618709,37.09955312616336,46.47346350398166,0.10456460370679888,7.136763230124456
IN_PUN_001,1,RandomForest,0.8440581018204248,32.61288062920364,44.415490588730066,0.09993419516614488,6.487980816090046
IN_PUN_001,1,XGBoost,0.8643672549187478,30.988775651176997,41.42240695427774,0.09319980137449217,6.19085374834362
IN_PUN_001,1,LightGBM,0.8604837242916434,31.835990324763333,42.01123924985063,0.09452466530745617,6.38122623322596
IN_PUN_001,1,SARIMA,0.886247177798503,29.213303612603276,37.934480894344276,0.08535201946376128,5.730611819778675
IN_PUN_001,1,ETS,0.8969259131279049,27.86909040004087,36.110026184251915,0.0812470234217627,5.532967461356769
IN_PUN_001,2,Persistence,0.8190031704935659,36.50655481956819,47.097747044299965,0.11117946495589566,7.353870893564031
IN_PUN_001,2,LinearRegression,0.7997532676393904,38.758979081361204,49.539015109205636,0.11694234947380756,7.566189680190484
IN_PUN_001,2,RandomForest,0.761814619295871,38.64124974348758,54.028411637582096,0.12754006879847657,7.772639302488374
IN_PUN_001,2,XGBoost,0.7713273999966017,37.15006742200852,52.938510049403696,0.12496723499998767,7.458935838046213
IN_PUN_001,2,LightGBM,0.76871076498221,38.966772033978486,53.24052862693923,0.12568018340971857,7.8192849396145805
IN_PUN_001,2,SARIMA,0.841323834814844,30.297137177384993,44.0981628709156,0.10409861322909512,5.981159276122832
IN_PUN_001,2,ETS,0.8654558948529605,29.03898268318542,40.606633559883086,0.09585647034456829,5.922433637146258
