location_id,horizon_year,nrmse
IN_JSL_001,1,0.0924176561606828
IN_JSL_001,2,0.0924176561606828
IN_JSL_001,3,0.09547851156125153
IN_JSL_001,4,0.09547851156125153
IN_JSL_001,5,0.09547851156125153
IN_JSL_001,6,0.09547851156125153
IN_JSL_001,7,0.09547851156125153
IN_JSL_001,8,0.09547851156125153
IN_JSL_001,9,0.09547851156125153
IN_JSL_001,10,0.11192371624168175
IN_KOL_001,1,0.17716522539677526
IN_KOL_001,2,0.17716522539677526
IN_KOL_001,3,0.18303290436069383
IN_KOL_001,4,0.18303290436069383
IN_KOL_001,5,0.18303290436069383
IN_KOL_001,6,0.18303290436069383
IN_KOL_001,7,0.18303290436069383
IN_KOL_001,8,0.18303290436069383
IN_KOL_001,9,0.18303290436069383
IN_KOL_001,10,0.21455846468045464
IN_PUN_001,1,0.1268157226762503
IN_PUN_001,2,0.1268157226762503
IN_PUN_001,3,0.13101583557411195
IN_PUN_001,4,0.13101583557411195
IN_PUN_001,5,0.13101583557411195
IN_PUN_001,6,0.13101583557411195
IN_PUN_001,7,0.13101583557411195
IN_PUN_001,8,0.13101583557411195
IN_PUN_001,9,0.13101583557411195
IN_PUN_001,10,0.1535819836755269
